Price	Mileage	Make	Model	Trim	Type	Cylinder	Liter	Doors	Cruise	Sound	Leather
17314.1031289	8221.0	Buick	Century	Sedan 4D	Sedan	6.0	3.1	4.0	1.0	1.0	1.0
17542.0360833	9135.0	Buick	Century	Sedan 4D	Sedan	6.0	3.1	4.0	1.0	1.0	0.0
16218.8478619	13196.0	Buick	Century	Sedan 4D	Sedan	6.0	3.1	4.0	1.0	1.0	0.0
16336.91314	16342.0	Buick	Century	Sedan 4D	Sedan	6.0	3.1	4.0	1.0	0.0	0.0
16339.1703239	19832.0	Buick	Century	Sedan 4D	Sedan	6.0	3.1	4.0	1.0	0.0	1.0
15709.0528211	22236.0	Buick	Century	Sedan 4D	Sedan	6.0	3.1	4.0	1.0	1.0	0.0
15230.0033898	22576.0	Buick	Century	Sedan 4D	Sedan	6.0	3.1	4.0	1.0	1.0	0.0
15048.0421841	22964.0	Buick	Century	Sedan 4D	Sedan	6.0	3.1	4.0	1.0	1.0	0.0
14862.0938696	24021.0	Buick	Century	Sedan 4D	Sedan	6.0	3.1	4.0	1.0	0.0	1.0
15295.0182669	27325.0	Buick	Century	Sedan 4D	Sedan	6.0	3.1	4.0	1.0	1.0	1.0
21335.8524849	10237.0	Buick	Lacrosse	CX Sedan 4D	Sedan	6.0	3.6	4.0	1.0	0.0	0.0
20538.0875102	15066.0	Buick	Lacrosse	CX Sedan 4D	Sedan	6.0	3.6	4.0	1.0	1.0	0.0
20512.0940912	16633.0	Buick	Lacrosse	CX Sedan 4D	Sedan	6.0	3.6	4.0	1.0	1.0	0.0
19924.1590524	19800.0	Buick	Lacrosse	CX Sedan 4D	Sedan	6.0	3.6	4.0	1.0	1.0	1.0
19774.2490661	23359.0	Buick	Lacrosse	CX Sedan 4D	Sedan	6.0	3.6	4.0	1.0	1.0	1.0
19344.1655374	23765.0	Buick	Lacrosse	CX Sedan 4D	Sedan	6.0	3.6	4.0	1.0	1.0	0.0
19105.1301244	24008.0	Buick	Lacrosse	CX Sedan 4D	Sedan	6.0	3.6	4.0	1.0	0.0	0.0
18543.4270454	26034.0	Buick	Lacrosse	CX Sedan 4D	Sedan	6.0	3.6	4.0	1.0	1.0	1.0
17808.198996	32896.0	Buick	Lacrosse	CX Sedan 4D	Sedan	6.0	3.6	4.0	1.0	1.0	0.0
17968.8382783	34665.0	Buick	Lacrosse	CX Sedan 4D	Sedan	6.0	3.6	4.0	1.0	1.0	1.0
22358.8776781	8970.0	Buick	Lacrosse	CXL Sedan 4D	Sedan	6.0	3.6	4.0	1.0	1.0	0.0
23785.9225264	10577.0	Buick	Lacrosse	CXL Sedan 4D	Sedan	6.0	3.6	4.0	1.0	1.0	1.0
22926.0903713	14363.0	Buick	Lacrosse	CXL Sedan 4D	Sedan	6.0	3.6	4.0	1.0	1.0	1.0
21895.7587842	16508.0	Buick	Lacrosse	CXL Sedan 4D	Sedan	6.0	3.6	4.0	1.0	0.0	1.0
21273.0617139	18908.0	Buick	Lacrosse	CXL Sedan 4D	Sedan	6.0	3.6	4.0	1.0	0.0	0.0
21460.0139529	19467.0	Buick	Lacrosse	CXL Sedan 4D	Sedan	6.0	3.6	4.0	1.0	0.0	1.0
21183.1235874	21394.0	Buick	Lacrosse	CXL Sedan 4D	Sedan	6.0	3.6	4.0	1.0	0.0	0.0
