,body,topic
0,"Ягуар (Panthera onca) — вид хищных млекопитающих семейства кошачьих, один из четырёх представителей рода пантера (лат. Panthera), который относится к подсемейству больших кошек. Единственный представитель рода на территории Северной и Южной Америки. Третий по размеру в мире, и самый крупный в Новом свете представитель семейства кошачьих. Ареал вида простирается от Мексики на юг до Парагвая и севера Аргентины. Длина тела без хвоста 112—185 см, хвост 45—75 см, масса 36—113 кг, в основном 60—90 кг, в отдельных случаях до 120 кг. Рекорд в природе составляет 158 кг. Самка на 20 % меньше и легче. Обычный нормальный взрослый самец крупного подвида весит около 90—110 кг (в среднем около 90—95 кг), а самка 60—80 кг. Высота в холке составляет 63—76 см. Внешне ягуар очень похож на леопарда, но значительно превосходит его по размерам. Самые крупные ягуары обитают в бразильском штате Мату-Гросу. В зонах обитания ягуар по-испански называется по разному: otorongo, jaguar, yaguareté, yaguar, onza, tigre или tigre americano; мексиканцы называют его на языке науатль ocelotl, что ошибочно совпадает с общепринятым названием оцелота, для этого последнего ацтекское название было tlatlauhquiocélotl. На одном из языков майя он называется balam, на мапуче — nahuel и на кечуа — uturuncu, uturunku или unqa. На большей части Латинской Америки его называют просто «tigre» (тигр), хотя его родство с тиграми довольно отдалённое; в Бразилии на португальском он называется onça[6]. Довольно часто слово «Yahuar» (Явар / Йавар) или «Yaguar» (Ягуар) встречается в языке кечуа (как правило, испанцами кечуанский звук «hua» — «ва / уа», записывался как «gua» — «гуа», но в кечуа не было согласной «г»), где оно значит «кровь» и так или иначе всегда связано с кровью. Это слово было составной частью имён правителей Инков: Ягуар Укис [Yaguar huquiz] (упоминается у Фернандо Монтесиноса)[7], Явар Вакак (Плачущий Кровью; упоминается всеми перуанскими хронистами, начиная с 1540-х годов)[8]. Слово «явар/ягуар» входило во множество кечуанских словосочетаний: «Allin yahuar, или yahuarniyoc» — знатный человек из хорошего рода или хорошей крови/касты, «Yahuar yahuar» — полный крови, окровавленный, «yahuar macintin» — родственник, и многие другие. Возможно, данное слово было также определением к хищным животным (в кечуа храбрый человек сравнивается именно с ягуаром или пумой)[9], от чего и получило своё распространение, поскольку похожее слово на языке гуарани стало известно европейцам значительно позже, так как активная колонизация Парагвая началась с 1600-х годов, на 70 лет позже колонизации Перу (1532). На гуарани yaguara (jaguarete) означало «зверь, убивающий одним прыжком». У некоторых индейцев Амазонии, например, тупи, ягуар называется похоже — iawa, iawaraté. Основные данные относительно эволюции вида получены с помощью палеонтологических и молекулярно-филогенетических исследований. Ягуар — единственный представитель рода Panthera в Новом Свете. И молекулярные, и палеонтологические данные подтверждают близкое родство ягуара с другими представителями рода. Последний общий предок этого рода и его ближайшего родственника — дымчатого леопарда — жил между 6 и 10 млн лет назад[10]. Сам же род возник, по палеонтологическим данным, примерно 3,8 млн лет назад[10][11]. Основные морфологические признаки свидетельствуют, что наиболее близкий родственник ягуара — леопард[12]. Однако исследование ДНК окончательно не завершено, и мнения о родственных связях ягуара отличаются у разных исследователей[10][12][13][14]. Ископаемые останки вымерших видов рода, таких как европейский ягуар (Panthera gombaszoegensis) и американский лев (Panthera leo atrox), совмещают в себе характерные признаки и льва и ягуара[12]. Анализ митохондриальной ДНК ягуара показал, что этот вид возник от 510 000 до 280 000 лет назад, что позднее, чем предполагалось по ископаемым останкам[15]. Ареал ягуара простирается от Центральной Америки до болот и сельвы Мату Гросу, а также севера Аргентины. Самые крупные ягуары обитают в бразильском штате Мату-Гросу. Ягуары полностью истреблены в Сальвадоре и Уругвае. Основные места обитания ягуара — тропические дождевые леса и злаковники, но зверь встречается и в семиаридных районах, заросших ксерофитными кустарниками. Его встречали в горных лесах, на высоте до 2000 м, и на океанском побережье, где хищник отыскивает и выкапывает черепашьи яйца. Древнейшие останки ягуара датируются поздним плиоценом (примерно 2 млн лет). В те времена ягуар населял весь юг нынешних США (последние ягуары были здесь убиты около 1900 года). Сейчас ареал ягуара сократился до трети от первоначального. Образ жизни ягуаров одиночный. Как и все хищные кошки, ягуары — территориальные звери; площадь территории одного ягуара занимает от 25 (у самок) до 100 и даже 120-170 (у самцов)[источник не указан 469 дней] квадратных километров, в зависимости от ландшафта и количества дичи. Как правило, охотничий участок самца по форме представляет собой треугольник. На своей территории самец охотится 3—4 дня в определённом районе, а затем переходит на другой участок. Кроме того, зверь наведывается к определённым «пограничным точкам» через каждые пять или пятнадцать дней. По этой причине ягуар является настоящим бродягой, постоянно «шатающимся» по сельве. Ягуар крайне нетерпим к другим кошачьим (в частности, к пумам) на своей территории, но довольно миролюбив к своим сородичам, и охотничьи территории ягуаров часто пересекаются. Ягуар является сумеречным хищником. Его самые активные охотничьи часы приходятся на время после захода солнца (примерно с 18:30 до 21:30) и перед рассветом (с 03:00 до 06:00). Предпочитаемая его добыча — капибары и копытные, вроде оленей: мазам, пекари и тапиров. Но в отличие от льва или тигра, ягуар не имеет в своей среде обитания огромных стад разнообразных копытных. Поэтому, он исторически вынужден был приспосабливаться к водной охоте, нападая в воде на кайманов, водоплавающих птиц, змей и рыбу[16]. Иногда нападает на анаконд[17], а в исключительных случаях даже на не очень больших черных кайманов[18], которые, правда, сами иногда убивают ягуаров, когда те заходят в воду[19]. В рацион ягуаров входят также обезьяны, лисицы, грызуны, носухи и другие небольшие животные. Охотится ягуар и на пресноводных черепах и броненосцев — его мощные челюсти способны преодолеть их защиту. На побережьях хищничеству ягуаров подвергаются яйца морских черепах, а иногда - самки, вышедшие их отложить[20]. В отличие от пумы, ягуар охотно и часто нападает на домашний скот. Основной метод охоты ягуара — это засада в высокой траве или на дереве. Обычно такую засаду он устраивает на берегу водоёма в траве или на тропах, ведущих к водопою. При нападении на жертву ягуар, как правило, прыгает на неё со спины или с боку, хватая за шею. Чаще всего при атаке скота ягуар стремится повалить жертву, которая сильно, а иногда и смертельно, травмируется в момент падения. У большинства коров, погибших после атаки ягуаров, были сломаны шейные позвонки в результате падения, а головы при этом почти запрокинуты на спину. В отличие от других крупных кошачьих, ягуар иногда прокусывает жертве череп, хотя обычно точно так же душат свою добычу, схватив ее за горло. Если жертва обнаружила хищника и спасается бегством, ягуар никогда её не преследует. Охотники Бразилии приписывают ягуару способность гипнотизировать свою жертву. Ягуар-меланист или чёрная пантера. Убив добычу, ягуар начинает поедать её с головы, постепенно продвигаясь к задней части. Если жертва велика, хищник остается у неё, утоляя голод в два приёма, с интервалом в 10—12 часов. Характерно, что ягуар почти не питается падалью, поэтому к остаткам своей жертвы возвращается очень редко. На охоте зверь издаёт низкое отрывистое, гортанное ворчание, а по ночам и в брачный период оглушительно ревёт. По индейским поверьям, ягуар способен имитировать крик любой птицы или животного, чтобы подманить их. Случаев нападений ягуаров на людей известно очень мало, а неспровоцированных — и того меньше. Людоедство среди этих хищников — явление исключительное. Чаще всего ягуар нападает, когда защищается. Если ягуара не провоцировать, он обычно не агрессивен, а скорее любопытен и часто преследует человека по лесу, не проявляя враждебных намерений, однако изредка бросается и на людей. Люди, повстречавшие неожиданно ягуара в чаще, испытывали странное чувство почтения и некого удивления. Вот как о встрече с ягуаром писал в 30-х годах XX века английский путешественник и зоолог Айвен Сандерсон: Я сильно вздрогнул от неожиданности, когда нарост вдруг изменил очертания и стал медленно взбираться по стволу. Я должен обратить ваше внимание на необъяснимый и очень интересный факт: хотя животное, которое я безошибочно узнал по силуэту, было хищником, я не чувствовал ничего похожего на то необычайное ощущение безотчётного ужаса, которое возникает при виде леопарда в Западной Африке, пронизывая вас с головы до пят. Передо мной на дереве в каких-нибудь двенадцати футах [ок. 4 метров] припал к стволу ягуар: в лунном сиянии зверь казался громадным, как настоящий выбеленный луной динозавр, но того одуряющего, тошнотворного ужаса он у меня не вызывал. Определённого сезона размножения у ягуара нет. Самка готова к спариванию на третий год жизни. Хотя ягуар — одиночное животное, в период свадеб они могут собираться небольшими группами. Характерно, что поединков между самцами почти не бывает, а выбор партнёра полностью зависит от самки. После такого выбора невеста переходит на территорию избранника. Самец остаётся с самкой только на период спаривания. Примерно через 100 дней после зачатия в логове среди камней, в густом кустарнике или дупле самка рожает двух-четырёх детёнышей. В их узоре больше чёрного, чем у родителей, причём он состоит не из розеток, а из сплошных пятен. В логове молодые ягуары проводят шесть недель, а с матерью охотятся до тех пор, пока не подыщут себе подходящую территорию для охоты. На значительной части своего прежнего ареала этот вид почти или полностью истреблён. Сыграли свою роль изменение людьми естественных местообитаний ягуаров, промысел ради ценной шкуры, а также отстрел скотоводами, опасавшимися за безопасность своих стад. Ягуар внесён в международную Красную книгу и во многих странах охраняется. Отстрел ягуаров в ограниченных количествах разрешён в Бразилии, Мексике и некоторых других странах. В Боливии разрешена охота ради трофеев.
",животное
1,"На вид этот американский зверь - вылитый леопард, но он значительно больше его и мощнее. И в самом деле оба животных - близкие родственники. Оказалось даже, что самка, помесь леопарда и ягуара, способна к продолжению рода. У него много общего с леопардом и тигром Старого Света. Так, он лазает по деревьям и плавает, хотя, как правило, охотится на земле. У него большая голова с мощными челюстями, а лапы просто огромны. Ягуара от леопарда не всякий отличит: очень похож, только пятна покрупнее, а некоторые их ""розетки"" - с черным пятнышком в центре. Воду, как и тигр, очень любит. Любит плавать лежа на бревне, вниз по реке; так иной раз ""замечтается"", что течение выносит его в океан. Ягуара трудо увидеть, зато значительно легче услышать. Он рычит подобно льву, умеет урчать и мурлыкать. Его голос может напоминать сиплый лающий кашель или звук распиливаемого дерева... Пока невыясненно, что означает каждый из этих звуков. Мяуканье ягуара связано с любовными играми. Прерывистый, синхронный с придыханием рык, является территориальным аргументом. Ягуар - настоящий воин! Мощные челюсти, огромные прыжки, тяжелый вес, сокрушительные зубы и когти - этот наборчик не для слабонервных! Ягуар способен справиться с добычей весом 250 - 300 кг!!! Великолепное зрение и исключительный слух являются отличным дополнением к вышеперечисленным дотоинствам.  Туловище ягуара тяжеловесное, крепкое; выглядит он приземистым, даже неуклюжим. Голова массивная; строением черепа ягуар, пожалуй что, ближе к тигру, чем к леопарду, зато окрашен так же как последний. Размер в длину до 1,85 метра, хвост до 0,75 метра. Высота в холке - 0,68 - 0,76 метра. Вес до 160 кг. Самка легче самца в среднем на 20%. Продолжительность жизни - до 10 лет в природе и до 25 лет в неволе. 50% смертности приходится на возраст до 2 лет. О точном числе подвидов ягуара ученые пока не договорились. Прежде насчитывали восемь подвидов, разделяя зверей по их размерам (окраска и узоры на шубке уж слишком сильно варьируют). Самые маленькие ягуары встречаются в Гондурасе и Гватемале; самые крупные - в Бразилии в районе Мату-Гросу (штат на границе с Боливией), причем длина животных колеблется от 1,6 до 2,4 метра (треть занимает хвост). Основной окрас меняется от песочного до яркой рыжеватой охры. Туловище покрыто как сплошными, так кольцевыми пятнами, а также розетками, причем внутри последних шерсть чуть темнее, чем общий окрас. Голова и широкие мощные лапы - в черную крапинку. В нижней части туловища наблюдаетс поперечный рисунок: на животе присутствуют большие черные пятна, а на горле и груди - полосы, составленные из слившихся воедино крапинок. На хвосте у животного также заметен узор из расположившихся рядышком кольцевых пятен и розеток (шерсть внутри их светлая). Уши у ягуаров закругленные, снаружи они черные с желтым пятном посредине. Нередко встречаются и животные-меланосы, внешне очень напоминающие черных пантер (хотя крупные размеры и выдают породу). Беременность длится 13 недель; рождается от одного до четырех детенышей. Окрашены они также узорчато, как и их родители, только цвета ""юниоров"" более приглушенные, матовые, а пятна у них на тельце обычно сплошные, черные. В зоопарках ягуары встречаются довольно часто. Если браться за их воспитание сызмальства, то можно в определенной степени приручить их. В настоящее время ягуар проживает на территории от 35 градуса северной широты (впрочем, эта цифра называется скорее по традиции - ведь здесь, в американских штатах Аризона, Нью-Мексико и Техас, ягуар практически истреблен до 40 градусов южной широты (Чили, Аргентина), то есть зона обитания у него меньше, чем у пумы.  Живут ягуары и в степях, и в редколесье,и в сырых болотистых лесах (и нередко в этой сырости наживают рахит). Среда обитания от Мексики до Аргентины. Места обитания - влажные тропические леса, околопустынные кустарниковые заросли до высоты 1000 метров. Воды эта кошка не боится - она и любит плавать, и плавает отлично. Потому обитателям рек и озер и приходится кормить собой этого хищника: на обед к нему попадают и водосвинки (капибары), и черепахи, и рыба, при чем на рыб ягуар охотится с берега, вышвырива их из воды мощными ударами лап. Очевидцы рассказывают, что видели, как ягуар выхватывал рыбу огромными лапами прямо из воды. Вообще всему американскому зверью приходится бояться прожор ливого ягуара, даже тапиры попадают к нему на обед отнюдь не в качестве сотрапезников. Обезьян сей прирожденный охотник настигает даже на верхушках деревьев или приканчивает их вблизи водопоя. Ягуары бывают активны и ночью, и днем, но самое любимое их время - тревожные, смутные сумерки. Очень часто ягуары сначала закапывают свою добычу, а потом уже возвращаются и поедают её. Хотя люди немало рассказывали о кровожадности ягуара, о его слепой, неукротимой жажде убивать, но рассказы эти нередко превращаются в россказни. Ягуар не так страшен, как его представляют, и ""прирожденным убийцей"" человеку скорее следует именовать себя, человека. Охота на ягуара категорически запрещена во всех местах обитания, кроме Французской Гвианы, игнорирующей конвенцию по защите исчезающих видов!!! ",животное
2,"Ягуар – хищник семейства кошачьих, принадлежащий к роду пантера. Индейцы племени гуарани называли это животное yaguara — зверь, убивающий одним прыжком.  Массивное коренастое тело ягуара достигает в длину от 120 до 185 см без хвоста, в холке – в среднем 68-76 см, масса колеблется от 68 до 136 кг (обычно 70-95 кг). Длина хвоста составляет 70-91 см. Самцы крупнее и тяжелее самок на 20%. По окрасу ягуар похож на леопарда, но черные пятна на голове, лапах и животе у ягуара сплошные, а «розетка» на боках выглядит иначе: центральное темное пятно (несколько мелких пятен) окружает кольцевой рисунок. Общий фон – различные оттенки рыжего или желтого цвета. Живот белый, уши сзади черные с белым пятном, черная полоска продолжает угол рта. Существуют черные ягуары (меланисты), у которых можно различить пятнистый рисунок. Черные котята могут появиться в одном выводке с котятами обычного окраса. Как и у леопардов, пятна и точки на шкуре ягуара расположены индивидуально. Ареал обитания ягуара – от Центральной Америки до севера Аргентины. В Уругвае и Сальвадоре ягуары истреблены полностью, самых крупных представителей вида можно встретить в Бразилии (штат Мату-Гросу). Животное обитает преимущественно в тропических лесах, хотя может встречаться и в пампасах, и в районах, заросших ксерофитными кустарниками (пустыни и полупустыни, а также морское побережье). В горных областях встречается редко. На данный момент ареал обитания этого зверя сократился на 2/3 по сравнению с первоначальным (так, на юге США последние представители вида убиты в 1900 г). Ягуар ведет одиночный образ жизни, охотиться предпочитает после захода солнца и перед рассветом. Территория одной особи – от 25 до 100 кв.км. Площадь территории (обычно в виде треугольника) зависит от ландшафта, количества дичи и пола животного (у самок территория меньше). На определенном участке своей территории самец обычно охотится 3-4 дня, а затем меняет участок. Каждые две недели зверь проверяет «пограничные точки». Не терпит присутствия на своей территории других кошачьих (пум), но по отношению к сородичам миролюбив, поэтому территории ягуаров могут пересекаться. Добычу поджидает в засаде – на дереве или в высокой траве недалеко от водопоя. При нападении прыгает на жертву со спины или с боку, стремясь схватить за шею, а иногда, в отличие от других кошачьих, прокусывает жертве череп. Основная добыча – капибары, пекари, тапиры и т.п., а также птицы, обезьяны, змеи и грызуны. Охотно нападает на домашний скот, который старается повалить на землю. Убегающих животных не преследует. На побережье выкапывает черепашьи яйца, а также расправляется с черепахами, добывая мягкие части рептилии лапой через переднее отверстие (некрупную особь может раздавить зубами). Этот зверь – отличный рыбак и хороший пловец. Добычу поедает с головы. Если она велика, утоляет голод в 2 приема с интервалом в 10 –12 часов. Падалью практически не питается. Охотясь, ягуар отрывисто, гортанно ворчит, а в брачный период и по ночам громко ревет. Сезонность размножения в тропиках не выражена, а в областях с дождливым сезоном пик рождаемости приходится на дождливый период. В брачный период ягуары могут собираться группами. Иногда наблюдаются драки между самцами, но выбор партнера зависит от самки, переходящей на территорию избранника. После спаривания самец покидает самку. Через 100 — 110 дней в густом кустарнике или логове среди камней появляется от 1 до 4 слепых и глухих котят. Через 6 недель малыши начинают охотиться с матерью, и остаются с ней около 2 лет, пока не обретут свой участок. Половая зрелость наступает в 3 года. Срок жизни в природе мало изучен, в неволе ягуары доживают до 25 лет. Несмотря на то, что на людей ягуар нападает крайне редко, на значительной части ареала он практически истреблен из-за ценного меха. Не последнюю роль в истреблении животного играют скотоводы, опасающиеся за свои стада. В настоящее время ягуар внесён в Красную книгу, однако в Бразилии, Мексике и Боливии охота на это животное разрешена.",животное
3,"Название: название ягуара предположительно произошло от слова yaguara (jaguarete), что означает ""зверь, убивающий одним прыжком"". Некоторые племена индейцев Амазонии, называют ягуара - iawa. Panthera onca латинского переводится как ""ловец"" и ""колючка, шип"" (подразумеваются мощные когти ягуара). Ареал: Северная и Южная Америка (юг Мексики, Бразилия, Аргентина, Коста-Рика, Парагвай, Панама, Сальвадор, Уругвай, Гватемала, Перу, Колумбия, Боливия, Венесуэла, Суринам, Французская Гвиана).  Описание: самая крупная дикая кошка Нового Света. Внешне ягуар очень похож на леопарда, но крупнее и тяжелее, а голова крупнее. Конечности короткие и мощные, из-за чего ягуар выглядит приземистым. Строением черепа ягуар ближе к тигру, чем к леопарду, зато окрашен так же как последний. Уши закругленные. Мех густой и короткий. Самки на 20% весят меньше самцов. Окрас: основной окрас тела от песочного до ярко-рыжей охры. Низ (горло, живот, внутренняя сторона лап) - белый. По туловищу разбросаны пятна: сплошные, кольца и розетки (они чуть темнее, чем общий фон тела). На голове и лапах черный крап. На хвосте заметен узор из кольцевых пятен и розеток (внутри них шерсть светлая). Уши снаружи черные, посередине желтое пятно. Встречаются и полностью черные особи, внешне похожие на пантер. Размер: длина тела 150-180 см, хвоста - 70-91 см, высота в холке 51-76 см. Вес: 56-150 кг, в среднем больше 100 кг. Продолжительность жизни: в природе до 10 лет, в неволе до 25 лет в неволе. Может рычать подобно льву, а также урчит и мурлыкает. Голос ягуара напоминает сиплый лающий кашель или звук распиливаемого дерева. Среда обитания: занимает различные места обитания (густые непроходимые леса, редколесье, степь, прибрежные рощи, заросли тростника). Предпочитает равнинные тропические дождевые леса с повышенной влажностью. Открытых равнин, покрытых травой, избегает. Любит воду много времени проводит в водоемах. Пища: в рацион ягуара довольно разнообразен - мелкие и крупные позвоночные: птицы, рептилии (кайманы и аллигаторы, морские черепахи), крупные грызуны (капибары), рыба, приматы, дикие свиньи, амфибии, олени. Поведение: ягуар активен в любое время суток. Обычно выходит на охоту в сумерках и лунные ночи. Хорошо и ловко лазает по деревьям, но предпочитает передвигаться по земле. Любит воду и по возможности проводит в ней много времени. Отлично плавает.  Чаще всего ягуар охотится из засады, которую он устраивает на берегах водоемов, в высокой траве, на деревьях, на тропинках, ведущих к водопою. Нападая на жертву, прыгает на спину, пытаясь повалить ее, и хватая жертву за шею. Укус у ягуара настолько силен, что он способен прокусить корове череп. Ягуар способен справиться с добей, которая весит до 300 кг. На рыбу охотится с берега, вышвыривая ее из воды ударами мощных лап. За обезьянами охотится на деревьях либо около водопоя. Никогда не преследует жертву, если она начинает убегать. Добычу начинает поедать с головы, постепенно продвигаясь к задней части. Если добыча крупная, ягуар остается около нее еще некоторое время. Падалью почти не питается. Социальная структура: вне сезона размножения ягуар ведет одиночный образ жизни. Территориален, площадь участка занимает 25-170 км2. Размер охотничьего участка зависит от ландшафта, обилия добычи и пола. На одном участке (в пределах своей территории) самец держится не более 3-4 дней, а потом идет дальше. Крайне нетерпим к другим представителям семейства кошачьих (например, пумам), но в тоже время миролюбив к себе подобным - охотничьи участки ягуаров часто пересекаются между собой. Размножение: о наступившем эструсе самка оповещает самцов, оставляя на деревьях метки мочи. В период свадеб ягуары собираются небольшими группами. Поединки между самцами отсутствуют, т.к. выбор партнера полностью зависит от самой самки. После своего выбора она переходит на территорию самца и остается там несколько дней. Нередко одна самка спаривается с несколькими самцами. Для логова самка выбирает место среди камней, в зарослях кустарника или в дуплах деревьев. У самки не наступает эструс до тех пор, пока с ней остаются детеныши. Сезон/период размножения: в течение всего года. Половое созревание: самки в 2-3 года, самцы в 3-4 года. Беременность: 93-110 дней. Потомство: в помете 1-4 пятнистых котенка. Выходить из логова детеныши начинают в 1,5 мес возрасте. В этом же возрасте мать их начинает брать с собой на охоту.  Смертность среди котят высокая, до двух лет доживает только 50% молодых ягуаров.  Детеныши живут с матерью два года, а затем начинают потом начинают самостоятельную жизнь. Польза/вред для человека: ягуар опасен для человека, но чаще всего нападает во время защиты. Есть сведения, что при встрече негров и белых, предпочитает нападать на первых. Легко переносит неволю и размножается в зоопарках.  Нападает на домашний скот, из-за чего активно преследуется фермерами. На ягуаров ведется охота из-за их красивого меха. Популяция/статус сохранения: на большей части ареала ягуар почти или полностью истреблен. Основная угроза вида: браконьерская охота, сокращение мест обитания. Вид внесен в Международную Красную книгу МСОП. В настоящее время признано 9 подвидов Panthera onca, которые отличаются как по размеру, так и по окрасу и узорам на теле: P. o. onca - Амазония, P. o. arizonensis - Мексика, P. o. centralis - Центральная Америка, P. o. goldmani - Мексика, Белиз, P. o. hernandesii - Мексика, P. o. palustris - Южная Бразилия, P. o. paraguensis - Парагвай, P. o. peruvianus - Перу, Эквадор, P. o. veracrucis - в Техас. 2 млн. лет назад ягуар населял весь юг нынешних США. В настоящее время ареал вида сократился до трети от первоначального. Скрещивается с леопардом и пантерой и производит помеси, способные к дальнейшему продолжению рода.",животное
