Date;Open;ClosingPrice;DailyHigh;DailyLow;VolumePcs
08.12.2017;133,43000;132,60000;133,90000;132,00000;16037970
07.12.2017;133,70000;133,02000;133,87000;132,81000;18198430
06.12.2017;133,33000;134,00000;134,29000;132,91000;14641730
05.12.2017;133,48000;133,65000;133,99000;132,78000;12684800
04.12.2017;133,01000;133,77000;134,00000;131,93000;17818980
01.12.2017;132,49000;133,02000;133,32000;131,72000;24755830
30.11.2017;133,00000;132,15000;134,31000;132,00000;40024830
29.11.2017;134,85000;133,55000;134,86000;132,97000;27263040
28.11.2017;133,23000;135,18000;135,18000;132,55000;26663710
27.11.2017;133,69000;133,50000;135,19000;132,80000;27713150
24.11.2017;131,56000;133,57000;134,19000;131,31000;29043690
23.11.2017;132,69000;131,60000;133,10000;131,30000;29106430
22.11.2017;133,00000;132,57000;133,65000;132,20000;25211140
21.11.2017;130,45000;132,49000;133,05000;130,35000;35532230
20.11.2017;129,97000;129,96000;130,49000;128,63000;15667470
17.11.2017;129,65000;129,65000;130,87000;129,06000;18126930
16.11.2017;131,65000;129,20000;132,70000;127,74000;42122000
15.11.2017;132,01000;131,21000;132,79000;131,21000;23349160
14.11.2017;133,02000;132,93000;134,28000;132,35000;42200310
13.11.2017;132,64000;133,32000;134,18000;131,71000;29457680
10.11.2017;131,03000;132,50000;133,84000;130,51000;47147150
09.11.2017;132,31000;131,50000;132,82000;131,14000;33869650
08.11.2017;132,00000;132,30000;133,94000;131,58000;39381960
07.11.2017;127,06000;132,28000;132,55000;127,05000;82333460
03.11.2017;125,70000;125,90000;126,84000;125,70000;22633490
02.11.2017;125,88000;125,67000;126,00000;124,87000;15593170
01.11.2017;126,40000;126,50000;126,89000;125,97000;18232550
31.10.2017;126,14000;125,90000;126,60000;125,57000;11857510
30.10.2017;125,96000;125,98000;126,93000;125,53000;19263340
27.10.2017;124,55000;125,94000;125,94000;123,64000;28588870
26.10.2017;124,99000;124,20000;125,39000;124,07000;14734860
25.10.2017;126,58000;125,00000;126,75000;124,28000;24168190
24.10.2017;126,97000;126,02000;126,97000;125,61000;20451320
23.10.2017;127,05000;126,80000;127,47000;126,37000;17308800
20.10.2017;125,85000;126,70000;127,05000;125,60000;21055440
19.10.2017;126,75000;125,50000;127,39000;125,17000;22525620
18.10.2017;125,44000;126,70000;127,09000;125,26000;29595400
17.10.2017;127,10000;125,15000;127,20000;125,05000;28319580
16.10.2017;127,10000;127,17000;127,80000;126,68000;23829380
13.10.2017;126,18000;126,86000;127,39000;125,80000;23710380
12.10.2017;126,05000;125,93000;126,79000;125,45000;18077300
11.10.2017;124,54000;126,00000;126,00000;124,38000;30336230
10.10.2017;125,00000;124,44000;125,33000;124,17000;20115940
09.10.2017;123,70000;124,81000;124,90000;123,41000;22044990
06.10.2017;123,54000;123,47000;124,48000;123,27000;30315270
05.10.2017;121,75000;123,50000;123,97000;121,51000;39985900
04.10.2017;120,68000;121,76000;121,95000;119,70000;24264960
03.10.2017;121,85000;120,78000;122,11000;120,47000;26880600
02.10.2017;122,29000;121,90000;122,44000;121,40000;14227260
29.09.2017;122,58000;122,20000;122,81000;121,70000;17242640
28.09.2017;123,28000;122,50000;123,62000;122,11000;22612850
27.09.2017;123,15000;123,36000;123,68000;122,46000;22511050
26.09.2017;123,25000;123,03000;124,19000;122,84000;25836740
25.09.2017;121,97000;123,03000;123,60000;121,90000;28221700
22.09.2017;122,34000;121,95000;122,46000;121,30000;19192330
21.09.2017;122,19000;122,34000;123,20000;121,61000;35217020
20.09.2017;121,89000;122,25000;122,43000;121,52000;26061680
19.09.2017;122,61000;121,75000;122,80000;121,05000;32122850
18.09.2017;122,48000;122,72000;123,35000;122,07000;27035140
15.09.2017;122,89000;122,50000;123,00000;121,59000;41842120
14.09.2017;123,55000;123,33000;124,19000;122,79000;29487230
13.09.2017;122,00000;123,55000;124,38000;121,99000;51220320
12.09.2017;121,29000;121,99000;122,00000;120,16000;27281490
11.09.2017;120,85000;121,00000;121,94000;119,63000;40349270
08.09.2017;118,15000;120,34000;120,45000;118,15000;41838310
07.09.2017;117,62000;117,95000;119,03000;117,38000;37116310
06.09.2017;116,00000;117,14000;117,58000;115,66000;24521460
05.09.2017;117,55000;116,00000;117,89000;115,90000;26653500
04.09.2017;117,00000;117,00000;117,65000;116,56000;16056300
01.09.2017;118,05000;117,40000;118,26000;117,04000;22711530
31.08.2017;117,99000;117,97000;119,21000;117,35000;41045540
30.08.2017;118,40000;118,20000;118,90000;116,88000;32071140
29.08.2017;118,50000;118,30000;118,63000;116,50000;27644330
28.08.2017;117,80000;118,75000;118,75000;117,54000;16227150
25.08.2017;116,82000;117,85000;118,00000;116,56000;21099190
24.08.2017;115,75000;116,56000;116,89000;115,42000;18580360
23.08.2017;116,09000;115,75000;116,27000;115,07000;22786650
22.08.2017;115,97000;116,00000;116,73000;115,68000;16101280
21.08.2017;116,07000;115,92000;116,47000;115,39000;16516080
18.08.2017;115,86000;116,00000;116,09000;115,15000;22345050
17.08.2017;116,65000;116,22000;116,95000;115,92000;16609980
16.08.2017;117,80000;116,75000;117,87000;116,63000;19162940
15.08.2017;117,12000;117,59000;117,70000;116,51000;16710620
