date,text
09.11.2017,"Компания рассчитывает на решение по газовому спору с Украиной до конца декабря «Газпром» ожидает решения Стокгольмского арбитража по транзитному спору с украинским «Нафтогазом» не позднее февраля 2018 года, хотя раньше компания прогнозировала, что это произойдет до 30 ноября. Решение по взаимным искам об условиях поставок газа на Украину, по мнению монополии, суд может принять на месяц раньше — до декабря 2017 года."
08.11.2017," Как и предполагал “Ъ”, «Газпром», воспользовавшись жалобами иностранных партнеров на налогообложение добычных проектов в РФ, смог добиться снижения налога на добычу полезных ископаемых (НДПИ) для своих ачимовских залежей почти до уровня независимых производителей газа. Эта льгота распространится не только на СП «Газпрома» с OMV и Wintershall, но и на структуры монополии, разрабатывающие месторождения с запасами от 1 трлн кубометров газа. По расчетам “Ъ”, это приведет к тому, что в 2018 году платеж по НДПИ для «Газпрома» и его ачимовских СП снизится на 2,8 млрд руб., из которых 2,2 млрд руб. сэкономит сама монополия."
01.11.2017," Новая редакция американских санкций ставит под угрозу зарубежные нефтяные проекты российских компаний. Теперь американским гражданам и компаниям запрещено не только так или иначе участвовать в разработке определенных типов нефтяных месторождений в России. Они не смогут помогать российским компаниям, в том числе «Роснефти», ЛУКОЙЛу и «Газпром нефти», в аналогичных проектах за рубежом, которые начнутся после 28 января 2018 года, если у российской стороны в них более 33%.
 Группа Telia, инвестировавшая в российских операторов связи с 1990-х годов, вышла из своего крупнейшего местного актива — «МегаФона»: 19% акций оператора за 60,4 млрд руб. приобрел Газпромбанк. Сделка может положить начало консолидации рынка в преддверии развития 5G и реализации «закона Яровой», а банк — заработать на перепродаже актива, считают аналитики."
30.10.2017," Как стало известно “Ъ”, известный на рынке риск-менеджер и IT-специалист Вадим Кулик выходит на работу в Газпромбанк. О его назначении зампредом правления будет объявлено в начале недели. Господин Кулик хорошо знаком с работой в госбанках — с 2004 года он работал в ВТБ 24, а затем в Сбербанке. В Газпромбанке перед топ-менеджером будет стоять амбициозная задача — технологическая реформа «крайне консервативной» кредитной организации."
23.10.2017," НОВАТЭК, который через пять лет собирается запустить на Камчатке крупный перегрузочный терминал для СПГ, готов решить проблему обеспечения региона газом. Пока газ в край поставляет «Газпром», но его не хватает. Местные месторождения монополии дают только 400 млн кубометров газа, а спрос уже сейчас составляет более 700 млн кубометров газа.
 Вопреки уже де факто сложившейся практике дотации проблемных секторов энергетики за счет оптового рынка, чиновники, как стало известно “Ъ”, выступили против таких преференций для угольной генерации. С просьбой ввести надбавку к тарифу для угольных электростанций, расположенных в европейской части РФ и на Урале, выступил «Газпром энергохолдинг». Как альтернативу ФАС предлагает энергетикам получить у ОАО РЖД скидку 25% на перевозку угля, что, по оценкам аналитиков, снизит себестоимость выработки на угольных станциях европейской части РФ в среднем на 7%.
 «Газпром» вряд ли сможет обеспечить Камчатку газом за счет добычи в регионе. Запасы принадлежащих монополии шельфовых месторождений оказались ниже ожидаемых. Решать проблему в компании собираются или за счет доразведки и покупки новых участков на Камчатке, или путем строительства СПГ-терминала. Но тогда встает вопрос, во сколько обойдется сырье местным потребителям."
20.10.2017," Российским прокатчикам второй раз за год пришлось разводить схожие по тематике картины по разным датам. Предполагалось, что два фильма о Древней Руси, «Скиф» Сергея Сельянова и «Легенда о Коловрате» «Газпром-медиа», выйдут 23 и 30 ноября соответственно, но в итоге «Скиф» перенесен на январь. Прокатчики договорились без конфликта, хотя в прошлый раз определять очередность фильмов о космосе «Салют-7» и «Время первых» пришлось Фонду кино и Минкульту."
13.10.2017," «Газпром» может подписать контракт со Словенией на поставки газа на ближайшие пять лет в конце текущего — начале следующего годов. Его условия стороны обсуждают уже несколько месяцев, но не торопятся с заключением. Последний раз условия соглашения пересматривались в 2016 году. Поставки в страну составляют около 0,5 млрд кубометров."
05.10.2017," «Газпром нефть», пробурившая первую скважину на Аяшском участке шельфа Сахалина, обнаружила крупное месторождение. Геологические запасы оценены в 255 млн тонн, извлекаемые — в 70–80 млн тонн, но эксперты осторожно замечают, что об экономической эффективности пока говорить рано. Предположительно, нефтекомпания будет искать партнера в проект, чтобы разделить риски. По словам источников “Ъ”, участком интересовалась Shell, но из-за санкций иностранцы с 2014 года на шельф России пока не идут.
 «Газпром нефть», пробурившая первую скважину на Аяшском участке шельфа Сахалина, обнаружила крупное месторождение. Геологические запасы оценены в 255 млн тонн, извлекаемые — в 70–80 млн тонн, но эксперты осторожно замечают, что об экономической эффективности пока говорить рано. Предположительно, нефтекомпания будет искать партнера в проект, чтобы разделить риски. По словам источников “Ъ”, участком интересовалась Shell, но из-за санкций иностранцы с 2014 года на шельф России пока не идут."
04.10.2017," Спутниковый оператор «НТВ-плюс» в последнее время заново искал свое место на рынке: несколько лет назад он резко снизил цены, но так и не смог догнать конкурентов по абонентской базе. С прошлого года компания перестала производить собственные телеканалы — теперь ими занимаются «Матч ТВ» и другие структуры «Газпром-медиа». О том, какие новые сегменты для роста находит компания, “Ъ” рассказал гендиректор «НТВ-плюс» Михаил Демин."
29.09.2017," Как стало известно “Ъ”, конкуренты начинают разбирать дилерские центры проблемной ГК «Независимость»: центр «Белая дача», продававший BMW, может занять «Авилон». В BMW замечают, что так и не получили от «Независимости» денег за проданные машины и выдают их клиентам за свой счет. Сходные проблемы с дилером возникли и у других концернов, в том числе у Volvo. При этом Газпромбанк уже заявил, что намерен банкротить проблемного дилера."
