,Authors,Lead sentences,Lemm Analysis,Lemmatized lead sentences,Publish Date,Title,URL
0,"Kommersant, Юлия Локшина","Вопрос о дальнейшей судьбе банка ""Пересвет"", принадлежащего Русской православной церкви (РПЦ), вероятно, будет решен в ближайшее время. Ключевое препятствие для санации банка — отказ крупнейших кредиторов конвертировать свои обязательства в капитал банка — устранено при поддержке премьера Дмитрия Медведева. Если санация все-таки состоится, это будет первым случаем в истории, когда банк спасался бы после начала выплаты страховых возмещений вкладчикам.","S,муж,неод=(вин,ед|им,ед) A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) S,жен,неод=(пр,ед|дат,ед) S,жен,неод=им,ед S,ед,муж,неод=(вин|им) V,несов,нп=(непрош,вин,ед,прич,полн,муж,действ,од|непрош,род,ед,прич,полн,муж,действ|непрош,род,ед,прич,полн,сред,действ) A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) S,сокр,жен,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) ADV,вводн= V,пе=прош,ед,прич,кр,муж,сов,страд A=(вин,ед,полн,прев,сред|им,ед,полн,прев,сред) S,сред,неод=(вин,ед|им,ед) A=(вин,ед,полн,сред|им,ед,полн,сред) S,сред,неод=(вин,ед|им,ед) S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) S,жен,неод=им,ед S,муж,неод=(вин,ед|им,ед) A=(пр,мн,полн,прев|вин,мн,полн,прев,од|род,мн,полн,прев) S,муж,од=(вин,мн|род,мн) V,пе=(инф,несов|инф,сов) APRO=(им,мн|вин,мн,неод) S,сред,неод=(вин,мн|род,ед|им,мн) S,муж,неод=(вин,ед|им,ед) S,жен,неод=им,ед V,пе=прош,ед,прич,кр,сред,сов,страд S,жен,неод=(пр,ед|дат,ед) S,жен,неод=им,ед S,имя,муж,од=(вин,ед|род,ед) S,фам,муж,од=(вин,ед|род,ед) CONJ= S,жен,неод=им,ед S,имя,муж,од=(род,ед|им,мн) V,сов,нп=непрош,ед,изъяв,3-л ANUM=(дат,мн|твор,ед,муж|твор,ед,сред) S,муж,неод=твор,ед S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) S,муж,неод=(вин,ед|им,ед) V,нп=прош,ед,изъяв,муж,несов V,пе=прош,ед,изъяв,жен,сов S,жен,неод=(вин,мн|род,ед|им,мн) A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн) S,сред,неод=род,мн S,муж,од=дат,мн ","вопрос дальнейший судьба банк пересвет принадлежать русский православный церковь рпц вероятно решать близкий время ключевой препятствие санация банк отказ крупный кредитор конвертировать свой обязательство капитал банк устранять поддержка премьера дмитрий медведев если санация всетака состояться первый случай история банк спасаться начало выплата страховой возмещение вкладчик
",2017-01-09T00:00:00+03:00,"Санацию ""Пересвета"" поддержал премьер-министр",https://www.kommersant.ru/doc/3186810
1,"Kommersant, Мария Сарычева","Количество сделок слияний и поглощений (M&amp;A) в 2016 году увеличилось, отмечается в новом исследовании агентства AK&amp;M, но в денежном выражении рынок сократился. На первое место вышла отрасль связи, тогда как прежний лидер в лице ТЭК оказался в аутсайдерах: в отличие от правительства, эксперты сочли сделку по приватизации ""Башнефти"" в пользу ""Роснефти"" не меняющей собственника. Главным трендом 2016 года стал рост количества сделок в формате передачи активов по делам о банкротстве. Эксперты ожидают сохранения этой тенденции.","S,сред,неод=(вин,ед|им,ед) S,жен,неод=род,мн S,сред,неод=род,мн S,сред,неод=род,мн S,муж,неод=(дат,ед|местн,ед) V,нп=прош,ед,изъяв,сред,сов V,нп=непрош,ед,изъяв,3-л,несов A=(пр,ед,полн,муж|пр,ед,полн,сред) S,сред,неод=пр,ед S,сред,неод=(вин,мн|род,ед|им,мн) A=(пр,ед,полн,муж|пр,ед,полн,сред) S,сред,неод=пр,ед S,муж,неод=(вин,ед|им,ед) V,нп=прош,ед,изъяв,муж,сов PR= ANUM=(вин,ед,сред|им,ед,сред) S,сред,неод=(вин,ед|им,ед) V,нп=прош,ед,изъяв,жен,сов S,жен,неод=(вин,ед|им,ед) S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) A=(вин,ед,полн,муж,неод|им,ед,полн,муж) S,муж,од=им,ед S,сред,неод=пр,ед S,муж,неод=(вин,ед|им,ед) V,нп=прош,ед,изъяв,муж,сов S,муж,од=пр,мн S,сред,неод=(вин,ед|им,ед) S,сред,неод=(вин,мн|род,ед|им,мн) S,муж,од=им,мн V,сов,пе=прош,мн,изъяв S,жен,неод=вин,ед S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) S,ед,жен,неод=(пр|дат|род) S,жен,неод=вин,ед S,ед,жен,неод=(пр|дат|род) V,несов,пе=(непрош,пр,ед,прич,полн,жен,действ|непрош,дат,ед,прич,полн,жен,действ|непрош,род,ед,прич,полн,жен,действ|непрош,твор,ед,прич,полн,жен,действ) S,муж,од=(вин,ед|род,ед) A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред) S,муж,неод=твор,ед S,муж,неод=(вин,мн|род,ед|им,мн) V,нп=прош,ед,изъяв,муж,сов S,муж,неод=(вин,ед|им,ед) S,сред,неод=(вин,мн|род,ед|им,мн) S,жен,неод=род,мн S,муж,неод=пр,ед S,жен,неод=(вин,мн|род,ед|им,мн) S,муж,неод=род,мн S,сред,неод=дат,мн S,сред,неод=пр,ед S,муж,од=им,мн V,несов,пе=непрош,мн,изъяв,3-л S,сред,неод=(вин,мн|род,ед|им,мн) S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) ","количество сделка слияние поглощение M amp A год увеличиваться отмечаться новый исследование агентство AK amp M денежный выражение рынок сокращаться на первый место выходить отрасль связь прежний лидер лицо тэк оказываться аутсайдер отличие правительство эксперт счесть сделка приватизация башнефть польза роснефть менять собственник главный тренд год становиться рост количество сделка формат передача актив дело банкротство эксперт ожидать сохранение тенденция
",2017-01-09T00:00:00+03:00,ТЭК попал в аутсайдеры,https://www.kommersant.ru/doc/3186841
2,"Kommersant, Виталий Гайдаев",Впервые за четыре года январские валютные торги на российском рынке начались с укрепления позиций рубля. За короткую предрождественскую неделю курс доллара впервые с июля 2015 года опустился ниже уровня 60 руб./$. Игра на укрепление российской валюты продолжается на фоне восстановления цен на нефть и сохраняющегося спроса на рублевые активы со стороны иностранных инвесторов.,"ADV= NUM=(им|вин,неод) S,муж,неод=(вин,мн|род,ед|им,мн) A=(вин,мн,полн,неод|им,мн,полн) A=(вин,мн,полн,неод|им,мн,полн) S,мн,неод=(вин|им) A=(пр,ед,полн,муж|пр,ед,полн,сред) S,муж,неод=пр,ед V,нп=прош,мн,изъяв,сов S,сред,неод=(вин,мн|род,ед|им,мн) S,жен,неод=род,мн S,муж,неод=род,ед PR= A=вин,ед,полн,жен A=вин,ед,полн,жен S,жен,неод=вин,ед S,муж,неод=(вин,ед|им,ед) S,муж,неод=род,ед ADV= S,муж,неод=род,ед S,муж,неод=(вин,мн|род,ед|им,мн) V,нп=прош,ед,изъяв,муж,сов ADV= S,муж,неод=род,ед S,жен,неод=им,ед S,сред,неод=(вин,ед|им,ед) A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) S,жен,неод=(вин,мн|род,ед|им,мн) V,нп=непрош,ед,изъяв,3-л,несов S,муж,неод=пр,ед S,сред,неод=(вин,мн|род,ед|им,мн) S,жен,неод=род,мн S,жен,неод=(вин,ед|им,ед) V,нп=(непрош,вин,ед,прич,полн,муж,несов,действ,од|непрош,род,ед,прич,полн,муж,несов,действ|непрош,род,ед,прич,полн,сред,несов,действ) S,муж,неод=род,ед A=(вин,мн,полн,неод|им,мн,полн) S,муж,неод=(вин,мн|им,мн) S,жен,неод=(вин,мн|род,ед|им,мн) A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн) S,муж,од=(вин,мн|род,мн) ","впервые четыре год январский валютный торги российский рынок начинаться укрепление позиция рубль за короткий предрождественский неделя курс доллар впервые июль год опускаться низко уровень игра укрепление российский валюта продолжаться фон восстановление цена нефть сохраняться спрос рублевый актив сторона иностранный инвестор
",2017-01-09T00:00:00+03:00,Игра на укрепление российской валюты продолжается,https://www.kommersant.ru/doc/3186807
3,"Kommersant, Юлия Полякова, Владислав Новый","ВТБ и АФК ""Система"" договорились о дальнейшей судьбе, входящего в АФК холдинга РТИ. ВТБ продаст ""Системе"" свои 15,32% акций РТИ и одновременно рефинансирует на льготных условиях кредиты холдинга, став его крупнейшим кредитором. В результате банк избавится от непрофильного актива без дисконта, а РТИ получит долгосрочное финансирование для реализации проектов.","S,сокр,ед,муж,неод=(пр|вин|дат|род|твор|им) S,жен,неод=им,ед V,нп=прош,мн,изъяв,сов A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) S,жен,неод=(пр,ед|дат,ед) A=(вин,ед,полн,муж,од|род,ед,полн,муж|род,ед,полн,сред) S,муж,неод=род,ед S,сред,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) S,сокр,ед,муж,неод=(пр|вин|дат|род|твор|им) V,пе=непрош,ед,изъяв,3-л,сов S,жен,неод=(пр,ед|дат,ед) APRO=(им,мн|вин,мн,неод) S,жен,неод=род,мн S,сред,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) ADV= V,пе=(непрош,ед,изъяв,3-л,несов|непрош,ед,изъяв,3-л,сов) A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн) S,сред,неод=пр,мн S,муж,неод=(вин,мн|им,мн) S,муж,неод=род,ед V,нп=прош,деепр,сов A=(дат,мн,полн,прев|твор,ед,полн,прев,муж|твор,ед,полн,прев,сред) S,муж,од=твор,ед S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) S,муж,неод=пр,ед S,муж,неод=(вин,ед|им,ед) V,нп=непрош,ед,изъяв,3-л,сов A,полн=(вин,ед,муж,од|род,ед,муж|род,ед,сред) S,муж,неод=род,ед S,муж,неод=род,ед S,сред,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) V,пе=непрош,ед,изъяв,3-л,сов A=(вин,ед,полн,сред|им,ед,полн,сред) S,сред,неод=(вин,ед|им,ед) S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) S,муж,неод=род,мн ","втб АФК система договариваться дальнейший судьба входить АФК холдинг рти втб продавать система свой акция рти одновременно рефинансировать льготный условие кредит холдинг становиться крупный кредитор в результат банк избавляться непрофильный актив дисконт рти получать долгосрочный финансирование реализация проект
",2017-01-09T00:00:00+03:00,Банк превратился из акционера холдинга в его основного кредитора,https://www.kommersant.ru/doc/3186782
4,"Kommersant, Евгений Хвостик","Генеральный директор Лондонской фондовой биржи (LSE) Ксавье Роле считает, что из-за Brexit финансовый сектор Великобритании может потерять около 232 тыс. рабочих мест. Кроме того, глава LSE опасается, что выход страны из ЕС может привести к росту нестабильности на финансовых рынках.","A=(вин,ед,полн,муж,неод|им,ед,полн,муж) S,муж,од=им,ед A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) S,жен,неод=(вин,мн|род,ед|им,мн) S,имя,муж,од=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) S,жен,неод=(пр,ед|дат,ед) V,несов,пе=непрош,ед,изъяв,3-л S,имя,жен,од=им,ед A=(вин,ед,полн,муж,неод|им,ед,полн,муж) S,муж,неод=(вин,ед|им,ед) S,гео,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) V,сов,пе=инф ADV= S,сокр,жен,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) S,муж,од=(пр,мн|вин,мн|род,мн) S,сред,неод=род,мн PR= S,жен,неод=им,ед V,несов,нп=непрош,ед,изъяв,3-л S,муж,неод=(вин,ед|им,ед) S,жен,неод=(вин,мн|род,ед|им,мн) S,сокр,ед,муж,неод=(пр|вин|дат|род|твор|им) V=инф,сов S,муж,неод=(дат,ед|парт,ед) S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн) S,муж,неод=пр,мн ","генеральный директор лондонский фондовый биржа LSE ксавье роля считать изза Brexit финансовый сектор великобритания потерять около тыс рабочий место кроме глава LSE опасаться выход страна ес приводить рост нестабильность финансовый рынок
",2017-01-10T21:48:13+03:00,Гендиректор Лондонской фондовой биржи и глава HSBC оценили угрозу Brexit,https://www.kommersant.ru/doc/3188014
5,"Kommersant, Татьяна Гришина","С 1 января онлайн-продажи полисов ОСАГО стали обязательными для страховщиков. Новогодние праздники не помешали автовладельцам опробовать покупку электронного ОСАГО. На рынке говорят о ""лавинообразном"" росте продаж — только за первую неделю было продано 16 тыс. полисов. ЦБ сообщил о намерении контролировать бесперебойность электронных продаж и отвел на покупку полиса в сети 30 минут — с тем чтобы пресечь злоупотребления вроде длительного показа рекламы.","S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) S,муж,неод=род,ед S,жен,неод=(вин,мн|род,ед|им,мн) S,муж,неод=род,мн S,сокр,ед,сред,неод=(пр|вин|дат|род|твор|им) V,нп=прош,мн,изъяв,сов A=твор,мн,полн S,муж,од=(вин,мн|род,мн) A=(вин,мн,полн,неод|им,мн,полн) S,муж,неод=(вин,мн|им,мн) V,сов,пе=прош,мн,изъяв S,муж,од=дат,мн V,пе=(инф,несов|инф,сов) S,жен,неод=вин,ед A=(вин,ед,полн,муж,од|род,ед,полн,муж|род,ед,полн,сред) S,сокр,ед,сред,неод=(пр|вин|дат|род|твор|им) PR= S,муж,неод=пр,ед V,несов,пе=непрош,мн,изъяв,3-л A=(пр,ед,полн,муж|пр,ед,полн,сред) S,муж,неод=пр,ед S,жен,неод=род,мн ANUM=вин,ед,жен S,жен,неод=вин,ед V,пе=прош,ед,прич,кр,сред,сов,страд S,сокр,жен,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) S,муж,неод=род,мн S,сред,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) V,пе=прош,ед,изъяв,муж,сов S,сред,неод=пр,ед V,несов,пе=инф S,жен,неод=(вин,ед|им,ед) A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн) S,жен,неод=род,мн V=прош,ед,изъяв,муж,сов S,жен,неод=вин,ед S,муж,неод=род,ед S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) S,жен,неод=род,мн V=инф,сов S,сред,неод=(вин,мн|род,ед|им,мн) PART= A=(вин,ед,полн,муж,од|род,ед,полн,муж|род,ед,полн,сред) S,муж,неод=род,ед S,жен,неод=(вин,мн|род,ед|им,мн) ","с январь онлайнпродажа полис осаго становиться обязательный страховщик новогодний праздник помешать автовладелец опробовать покупка электронный осаго на рынок говорить лавинообразный рост продажа первый неделя продавать тыс полис цб сообщать намерение контролировать бесперебойность электронный продажа отводить покупка полис сеть минута пресекать злоупотребление вроде длительный показ реклама
",2017-01-10T00:00:00+03:00,Автовладельцы осваивают онлайн-покупку ОСАГО,https://www.kommersant.ru/doc/3187322
6,"Kommersant, Павел Аксенов","Новое развитие получила история с запуском досрочного негосударственного пенсионного обеспечения (ДНПО) для занятых на вредных производствах работников. В конце прошлого года правительство утвердило критерии для НПФ, в которые будут переводиться средства ДНПО в случае реорганизации компании-работодателя или краха пенсионного фонда--партнера предприятия. Использование подобных, по сути, системообразующих НПФ в будущем может быть распространено и на другие сегменты негосударственного пенсионного обеспечения.","S,сред,неод=(вин,ед|им,ед) S,сред,неод=(вин,ед|им,ед) V,пе=прош,ед,изъяв,жен,сов S,жен,неод=им,ед S,муж,неод=твор,ед A=(вин,ед,полн,муж,од|род,ед,полн,муж|род,ед,полн,сред) A,полн=(вин,ед,муж,од|род,ед,муж|род,ед,сред) A=(вин,ед,полн,муж,од|род,ед,полн,муж|род,ед,полн,сред) S,сред,неод=(вин,мн|род,ед|им,мн) S,сред,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) V=(прош,пр,мн,прич,полн,сов,страд|прош,вин,мн,прич,полн,сов,страд,од|прош,род,мн,прич,полн,сов,страд) A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн) S,сред,неод=пр,мн S,муж,од=(вин,мн|род,мн) S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) S,муж,неод=пр,ед S,сред,неод=род,ед S,муж,неод=(вин,мн|род,ед|им,мн) S,сред,неод=(вин,ед|им,ед) V,сов,нп=прош,ед,изъяв,сред S,муж,неод=(пр,ед|вин,мн|им,мн) APRO=(им,мн|вин,мн,неод) V,нп=непрош,мн,изъяв,3-л V,нп=инф,несов S,сред,неод=(вин,мн|род,ед|им,мн) S,сред,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) S,муж,неод=пр,ед S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) S,муж,од=(вин,ед|род,ед) S,муж,неод=род,ед A=(вин,ед,полн,муж,од|род,ед,полн,муж|род,ед,полн,сред) S,муж,од=(вин,ед|род,ед) S,сред,неод=(вин,мн|род,ед|им,мн) S,сред,неод=(вин,ед|им,ед) A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн) S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) A,полн=(пр,мн|род,мн|вин,мн,од) S,сред,неод=пр,ед V,пе=прош,ед,прич,кр,сред,сов,страд APRO=(им,мн|вин,мн,неод) S,муж,неод=(вин,мн|им,мн) A,полн=(вин,ед,муж,од|род,ед,муж|род,ед,сред) A=(вин,ед,полн,муж,од|род,ед,полн,муж|род,ед,полн,сред) S,сред,неод=(вин,мн|род,ед|им,мн) ","новый развитие получать история запуск досрочный негосударственный пенсионный обеспечение днпо занятый вредный производство работник в конец прошлый год правительство утвердить критерий НПФ который быть переводиться средство днпо случай реорганизация компанииработодатель крах пенсионный фондапартнер предприятие использование подобный суть системообразующий НПФ будущее распространять другой сегмент негосударственный пенсионный обеспечение
",2017-01-10T00:00:00+03:00,Правительство определило критерии системообразующих НПФ,https://www.kommersant.ru/doc/3187321
7,"Kommersant, Виталий Гайдаев","Такого успешного месяца, как декабрь 2016 года, на рынке коллективных инвестиций не было почти девять лет. Управляющие компании в конце года привлекли в открытые паевые фонды (ПИФы) почти 3 млрд руб. Весь объем привлеченных средств поступил в консервативные фонды облигаций, которые обеспечили с начала года высокую доходность, укрепив свое конкурентное преимущество в сравнении с банковскими депозитами.","APRO=(вин,ед,муж,од|род,ед,муж|род,ед,сред) A=(вин,ед,полн,муж,од|род,ед,полн,муж|род,ед,полн,сред) S,муж,неод=род,ед S,муж,неод=(вин,ед|им,ед) S,муж,неод=(вин,мн|род,ед|им,мн) S,муж,неод=пр,ед A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн) S,жен,неод=род,мн NUM=(вин|им) S,муж,неод=род,мн S,муж,од=им,мн S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) S,муж,неод=пр,ед S,муж,неод=(вин,мн|род,ед|им,мн) V=прош,мн,изъяв,сов A=(вин,мн,полн,неод|им,мн,полн) A=(вин,мн,полн,неод|им,мн,полн) S,муж,неод=(вин,мн|им,мн) S,муж,неод=(вин,мн|им,мн) APRO=(вин,ед,муж,неод|им,ед,муж) S,муж,неод=(вин,ед|им,ед) V=(прош,пр,мн,прич,полн,сов,страд|прош,вин,мн,прич,полн,сов,страд,од|прош,род,мн,прич,полн,сов,страд) S,сред,неод=род,мн V,нп=прош,ед,изъяв,муж,сов A=(вин,мн,полн,неод|им,мн,полн) S,муж,неод=(вин,мн|им,мн) S,жен,неод=род,мн APRO=(им,мн|вин,мн,неод) V,пе=прош,мн,изъяв,сов V,пе=прош,ед,изъяв,жен,сов S,муж,неод=(вин,мн|род,ед|им,мн) A=вин,ед,полн,жен S,жен,неод=(вин,ед|им,ед) V,пе=прош,деепр,сов SPRO,ед,сред,неод=(вин|им) A=(вин,ед,полн,сред|им,ед,полн,сред) S,сред,неод=(вин,ед|им,ед) S,сред,неод=пр,ед A=твор,мн,полн S,муж,неод=твор,мн ","такой успешный месяц декабрь год рынок коллективный инвестиция девять год управляющий компания конец год привлекать открытый паевой фонд пиф весь объем привлекать средство поступать консервативный фонд облигация который обеспечивать начало год высокий доходность укреплять свой конкурентный преимущество сравнение банковский депозит
",2017-01-10T00:00:00+03:00,Розничные ПИФы привлекли рекордную сумму с января 2008 года,https://www.kommersant.ru/doc/3187393
8,"Kommersant, Юлия Полякова, Светлана Самусева, Ксения Дементьева","Федеральная служба судебных приставов (ФССП), которая в конце декабря стала надзорным органом за коллекторами, включила в реестр десять компаний. Только они могут с 1 января собирать долги граждан. Заявки подала еще 31 компания, и эксперты ожидают, что они попадут в реестр до конца месяца. Всего попасть в реестр захотят около 200 компаний-взыскателей, на что уйдет пара месяцев, уверены участники рынка. При этом более 500 игроков, скорее, предпочтут обойтись без официального статуса и уйти в тень, полагают собеседники ""Ъ"".","A=им,ед,полн,жен S,жен,неод=им,ед A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн) S,муж,од=(вин,мн|род,мн) APRO=им,ед,жен S,муж,неод=пр,ед S,муж,неод=род,ед V,нп=прош,ед,изъяв,жен,сов A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред) S,муж,неод=твор,ед S,муж,неод=твор,мн V,пе=прош,ед,изъяв,жен,сов S,муж,неод=(вин,ед|им,ед) NUM=(вин|им) S,жен,неод=род,мн PART= V,несов,нп=непрош,мн,изъяв,3-л S,муж,неод=род,ед V=инф,несов,пе S,муж,неод=(вин,мн|им,мн) S,муж,од=(вин,мн|род,мн) S,жен,неод=(вин,мн|род,ед|им,мн) V,пе=прош,ед,изъяв,жен,сов S,жен,неод=им,ед S,муж,од=им,мн V,несов,пе=непрош,мн,изъяв,3-л V,нп=непрош,мн,изъяв,3-л,сов S,муж,неод=(вин,ед|им,ед) S,муж,неод=род,ед S,муж,неод=род,ед PART= V,нп=инф,сов S,муж,неод=(вин,ед|им,ед) V,сов,пе=непрош,мн,изъяв,3-л ADV= S,муж,од=(вин,мн|род,мн) V,нп=непрош,ед,изъяв,3-л,сов S,жен,неод=им,ед S,муж,неод=род,мн V,пе=прош,мн,прич,кр,сов,страд S,муж,од=им,мн S,муж,неод=род,ед PR= S,муж,од=(вин,мн|род,мн) ADV=срав V=непрош,мн,изъяв,3-л,сов V,нп=инф,сов A=(вин,ед,полн,муж,од|род,ед,полн,муж|род,ед,полн,сред) S,муж,неод=род,ед V,нп=инф,сов S,жен,неод=(вин,ед|им,ед) V,пе=непрош,мн,изъяв,3-л,несов S,муж,од=им,мн ","федеральный служба судебный пристав ФССП который конец декабрь становиться надзорный орган коллектор включать реестр десять компания только мочь январь собирать долг гражданин заявка подавать компания эксперт ожидать попадать реестр конец месяц всего попадать реестр захотеть около компанийвзыскатель уходить пара месяц уверенный участник рынок при игрок скоро предпочитать обходиться официальный статус уходить тень полагать собеседник Ъ
",2017-01-10T00:00:00+03:00,Первые сборщики долгов получили официальный статус,https://www.kommersant.ru/doc/3187368
9,"Kommersant, Вероника Горячева","Две саморегулируемые организации (СРО), оставшиеся на рынке аудита, РСА и ААС продолжают борьбу за членов. За счет ""большой четверки"" РСА смогла не только отменить вступительные взносы, но и на 10-20% снизить членские — в результате стоимость участия в двух СРО сравнялась. При этом на фоне конфликта в руководстве ААС некоторые компании могут принять решение о переходе в ранее слишком дорогую для них РСА, считают эксперты, что может быть критичным для ААС.","NUM=(им,жен|вин,жен,неод) A,полн=(им,мн|вин,мн,неод) S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) V,нп=(прош,им,мн,прич,полн,сов,действ|прош,вин,мн,прич,полн,сов,действ,неод) S,муж,неод=пр,ед S,муж,неод=род,ед S,ед,муж,неод=(пр|вин|дат|род|твор|им) S,имя,муж,од=им,ед V,пе=непрош,мн,изъяв,3-л,несов S,ед,жен,неод=вин S,муж,од=(вин,мн|род,мн) PR= S,муж,неод=(вин,ед|им,ед) A=(вин,ед,полн,муж,неод|им,ед,полн,муж|пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) S,жен,неод=(вин,мн|род,ед|им,мн) S,ед,муж,неод=(пр|вин|дат|род|твор|им) V,сов,нп=прош,ед,изъяв,жен V,пе=инф,сов A=(вин,мн,полн,неод|им,мн,полн) S,муж,неод=(вин,мн|им,мн) V=инф,сов A=(вин,мн,полн,неод|им,мн,полн) S,муж,неод=пр,ед S,жен,неод=(вин,ед|им,ед) S,сред,неод=(вин,мн|род,ед|им,мн) NUM=(пр|род|вин,муж,од|вин,жен,од) S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) V,нп=прош,ед,изъяв,жен,сов PR= S,муж,неод=пр,ед S,муж,неод=род,ед S,сред,неод=пр,ед S,имя,муж,од=им,ед SPRO,мн=(вин|им) S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) V,несов,нп=непрош,мн,изъяв,3-л V=инф,сов S,сред,неод=(вин,ед|им,ед) S,муж,неод=пр,ед ADV= ADV= A=вин,ед,полн,жен S,ед,муж,неод=(пр|вин|дат|род|твор|им) V,несов,пе=непрош,мн,изъяв,3-л S,муж,од=им,мн A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред) S,имя,муж,од=им,ед ","два саморегулируемый организация сро оставаться рынок аудит рса аас продолжать борьба член за счет большой четверка рса смочь отменять вступительный взнос снижать членский результат стоимость участие два сро сравниваться при фон конфликт руководство аас некоторый компания мочь принимать решение переход ранее слишком дорогой рса считать эксперт критичный аас
",2017-01-10T00:00:00+03:00,СРО аудиторов померяются ценами на членство,https://www.kommersant.ru/doc/3187219
